#MAP	id	filename	label	size
#CONSENSUS	rt_cf	mz_cf	intensity_cf	charge_cf	width_cf	quality_cf	rt_0	mz_0	intensity_0	charge_0	width_0	rt_1	mz_1	intensity_1	charge_1	width_1	rt_2	mz_2	intensity_2	charge_2	width_2	rt_3	mz_3	intensity_3	charge_3	width_3	rt_4	mz_4	intensity_4	charge_4	width_4	rt_5	mz_5	intensity_5	charge_5	width_5	rt_6	mz_6	intensity_6	charge_6	width_6	rt_7	mz_7	intensity_7	charge_7	width_7	rt_8	mz_8	intensity_8	charge_8	width_8	rt_9	mz_9	intensity_9	charge_9	width_9	rt_10	mz_10	intensity_10	charge_10	width_10	rt_11	mz_11	intensity_11	charge_11	width_11	rt_12	mz_12	intensity_12	charge_12	width_12	rt_13	mz_13	intensity_13	charge_13	width_13	rt_14	mz_14	intensity_14	charge_14	width_14	rt_15	mz_15	intensity_15	charge_15	width_15	rt_16	mz_16	intensity_16	charge_16	width_16	rt_17	mz_17	intensity_17	charge_17	width_17	rt_18	mz_18	intensity_18	charge_18	width_18	rt_19	mz_19	intensity_19	charge_19	width_19	rt_20	mz_20	intensity_20	charge_20	width_20	rt_21	mz_21	intensity_21	charge_21	width_21	rt_22	mz_22	intensity_22	charge_22	width_22	rt_23	mz_23	intensity_23	charge_23	width_23
MAP	0	200525_Mou_4h_02.mzML		348
MAP	1	200525_Mou_Blank_02.mzML		303
MAP	2	200525_Rat_4h_03.mzML		387
MAP	3	200525_HUMAN_Blank_01.mzML		360
MAP	4	200525_Dog_Blank_03.mzML		320
MAP	5	200525_Dog_4h_03.mzML		363
MAP	6	200525_Dog_4h_01.mzML		350
MAP	7	200525_HUMAN_Blank_02.mzML		343
MAP	8	200525_Mou_4h_03.mzML		334
MAP	9	200525_Rat_Blank_02.mzML		366
MAP	10	200525_Rat_4h_02.mzML		375
MAP	11	200525_Mou_Blank_01.mzML		295
MAP	12	200525_HUMAN_Blank_03.mzML		324
MAP	13	200525_Dog_Blank_02.mzML		361
MAP	14	200525_Mou_Blank_03.mzML		308
MAP	15	200525_HUMAN_4h_02.mzML		373
MAP	16	200525_HUMAN_4h_01.mzML		387
MAP	17	200525_Rat_Blank_01.mzML		340
MAP	18	200525_Rat_4h_01.mzML		387
MAP	19	200525_HUMAN_4h_03.mzML		393
MAP	20	200525_Dog_Blank_01.mzML		329
MAP	21	200525_Dog_4h_02.mzML		368
MAP	22	200525_Rat_Blank_03.mzML		335
MAP	23	200525_Mou_4h_01.mzML		348
CONSENSUS	2200.665486653414064	538.867185463775968	1.96611e05	1	0.0	3.163219e-04	2203.194856664652434	538.869453142244083	1.8613e05	1	12.816478	2203.009021467644743	538.869415813427736	1.804436e05	1	11.786529	2200.058353878640446	538.867911004163489	2.041831e05	1	15.811394	2200.582013472197104	538.864770014055353	2.047497e05	1	14.288941	2198.727797677755916	538.866218878050745	1.855184e05	1	16.521114	2198.373278133392432	538.867206031714659	1.724948e05	1	11.005617	2199.904907786076365	538.867945552703873	1.903325e05	1	13.591842	2201.493022387316159	538.864160608918269	2.21523e05	1	16.286766	2200.87926274351139	538.868987411253897	2.051321e05	1	14.258015	2201.628636584069682	538.866425088638493	2.039715e05	1	15.730579	2198.766546187385757	538.867798827107549	2.185819e05	1	17.782763	2200.393544784227743	538.868069550803512	1.843757e05	1	13.409763	2200.567259610647852	538.86527717671288	2.113852e05	1	13.496213	2201.061203788564853	538.867193270154189	1.875993e05	1	15.792613	2199.751379350709613	538.867656281427685	1.787304e05	1	12.528114	2202.864771292510795	538.864547597023488	2.267533e05	1	18.145243	2201.693544086271686	538.865356925727156	2.056153e05	1	16.515423	2200.663047296535751	538.866745253927547	1.957793e05	1	15.211206	2199.657204437542077	538.867083399502576	1.911259e05	1	12.517465	2199.269999999999982	538.864872034175733	1.847626e05	1	11.870211	2200.420393243301987	538.868066446539729	1.98369e05	1	12.654614	2199.957468760267148	538.868461932635341	1.951106e05	1	14.11204	2200.177849507759674	538.869335339358145	2.009743e05	1	14.626923	2202.876316540968219	538.869493550355287	1.850236e05	1	12.237026
CONSENSUS	2115.935771834151638	853.581182249552057	5.969138e05	1	0.0	1.13333e-03	2115.629556444138416	853.584866772720943	6.597147e05	1	13.161349	2115.374651962926691	853.584011565247238	6.250981e05	1	12.586471	2115.468152621347144	853.585411418223316	5.495939e05	1	9.611009	2115.978019247764678	853.579812684256126	6.71201e05	1	13.828399	2117.20524152260441	853.584027208518023	5.939694e05	1	10.661881	2116.637866165876403	853.583316645229274	5.946511e05	1	10.235163	2115.218311379597253	853.571930441105678	5.909245e05	1	13.367102	2116.878423962290071	853.57862520136564	6.448766e05	1	10.136958	2116.359988864087427	853.574716736645769	5.765913e05	1	8.779903	2117.074834140856183	853.583948725651112	5.385434e05	1	9.638591	2117.190114419332076	853.583604690383709	6.058919e05	1	11.217437	2115.736959100571767	853.572455447077005	5.594318e05	1	7.626064	2115.938050588540136	853.580149698823902	5.870659e05	1	7.906856	2116.511585845797526	853.583145535393442	5.36254e05	1	9.594027	2115.165764912715531	853.582907461477021	6.325194e05	1	12.611888	2115.161807570385918	853.582315131660835	6.302686e05	1	11.953513	2117.022294154325209	853.579934397365605	6.211324e05	1	10.24429	2116.125727570043637	853.583543726343123	5.286413e05	1	8.747752	2115.076046903579481	853.584549680651094	6.192223e05	1	13.018387	2114.699999999999818	853.578723151966528	6.293375e05	1	11.682208	2115.888244594032585	853.582902063876645	6.040004e05	1	12.561716	2115.202752226488883	853.573113367906899	5.256094e05	1	8.061598	2115.621556449415039	853.585454620112955	5.520153e05	1	8.582089	2115.29257337292529	853.584907617244085	6.49376e05	1	12.295233
CONSENSUS	156.363456070535023	678.003011867708551	1.122211e06	1	0.0	1.952437e-03	158.383160686464436	678.004918465950141	1.454058e06	1	41.289558	158.0490043668905	678.003863802227215	1.473066e06	1	39.437805	156.787943220323314	678.003200550945166	9.250585e05	1	43.303375	153.525540538967476	678.000752275949594	4.761082e05	1	37.997883	156.889627344308764	678.002241513845661	1.401227e06	1	45.189362	149.890038279982974	678.00427347474681	1.480279e06	1	43.119213	157.387772593005508	678.00353195465425	1.471674e06	1	48.142433	154.489093302281958	678.001267203828888	5.563086e05	1	43.995132	158.413094206330754	678.005502789222646	1.548853e06	1	44.563927	159.085916464355222	678.004020767643055	9.883577e05	1	48.316841	158.289406476984112	678.003621212578309	9.559961e05	1	45.016266	156.011559167211857	678.004805292616538	1.677024e06	1	48.748524	153.618900948477716	678.000754664104988	5.103685e05	1	39.547565	159.717740088959801	678.002982542666587	1.416631e06	1	44.27005	162.446151582351831	678.004629686222756	1.589186e06	1	45.080711	154.61811938383471	677.999819824302904	5.706698e05	1	41.998894	153.622344384533534	678.000470966119678	6.393873e05	1	39.620464	158.626008528927969	678.004503513721261	9.21306e05	1	42.553627	156.930737920522262	678.002489831336902	9.152836e05	1	41.2187	156.506	677.999892558884767	6.420018e05	1	44.379402	156.685525846728524	678.002453946580886	1.45679e06	1	44.346027	152.429618482602564	678.003566353002157	1.434077e06	1	47.362278	154.839298507722589	678.003900059998045	8.606282e05	1	41.949783	155.480343371072536	678.004821573858862	1.568731e06	1	46.171139
CONSENSUS	2131.16996951153078	423.25622069798942	4.726768e05	1	0.0	7.981565e-04	2130.733571128293079	423.257087269409396	4.783376e05	1	11.865012	2130.490580310144651	423.257481311561321	4.938159e05	1	11.475637	2130.579975049790846	423.258215278031855	4.274308e05	1	8.909149	2131.085875359270176	423.253315557490339	5.274539e05	1	12.922694	2132.29830917761592	423.254905021544118	4.585838e05	1	9.866892	2131.780363405076969	423.254961719319454	4.274499e05	1	9.503793	2130.339129704510015	423.256821517653805	4.674017e05	1	12.287133	2131.986387025053773	423.253989528857801	4.632818e05	1	9.352906	2131.450931699363537	423.258130626762409	4.268286e05	1	8.258422	2132.171942062016569	423.258278494508431	4.352262e05	1	9.33892	2132.295008590976977	423.254126277698333	4.752753e05	1	10.596844	2130.84884518430772	423.255854393527898	4.880644e05	1	12.291443	2131.045049716496578	423.255062267993367	5.285267e05	1	12.982709	2131.606161761330441	423.257895984049924	4.136718e05	1	8.89175	2130.276767917658617	423.257113744081778	4.743566e05	1	10.907494	2133.313117299633632	423.256586415889387	5.085326e05	1	10.875744	2132.138584931960395	423.255602073858483	4.471991e05	1	9.151012	2131.218107894825152	423.254615864625805	4.857231e05	1	13.893448	2130.178039084764805	423.256124246851698	4.895863e05	1	11.948754	2129.800000000000182	423.254691511024021	5.141517e05	1	10.730246	2130.981486223498905	423.256750350892673	4.751913e05	1	12.010035	2130.333944230035741	423.258702051726573	4.74956e05	1	13.201907	2130.727321265111641	423.256054263093802	4.795245e05	1	13.695047	2130.399769254992862	423.256930981291475	4.836737e05	1	10.952423
CONSENSUS	2099.446079517096678	790.587143700160027	1.614218e06	1	0.0	3.363732e-03	2100.535537798821224	790.588895484764066	1.608213e06	1	9.722943	2100.26872753916814	790.586182029701831	1.591859e06	1	9.280752	2097.345967154545178	790.587549236619793	1.78774e06	1	12.477057	2100.87016313625918	790.586499404798246	1.792398e06	1	10.517061	2099.09356033658969	790.587780990273814	1.496866e06	1	7.518768	2098.478895287365049	790.590178460362267	1.485464e06	1	7.868123	2100.097493054684492	790.584176635754716	1.542612e06	1	9.865488	2098.748868286973448	790.584973702088405	1.531315e06	1	7.805861	2098.240863459877801	790.590537012665436	1.743876e06	1	11.530909	2098.958304635463719	790.583287278654211	1.712583e06	1	13.223369	2099.064241413359014	790.586512049056637	1.612729e06	1	8.497417	2100.625073016836723	790.589658642705444	1.577991e06	1	10.012912	2100.831051460583694	790.587536948351385	1.650078e06	1	10.735512	2098.398094747157757	790.583921908671528	1.756035e06	1	12.944889	2100.064762571574647	790.587430647358815	1.591925e06	1	9.254686	2100.044059257553727	790.587297014673141	1.525447e06	1	9.135812	2098.882745221162622	790.586331061452142	1.541e06	1	7.415616	2098.014871180305363	790.589079212015918	1.742567e06	1	11.775085	2099.974054722394612	790.586391809854945	1.613753e06	1	9.49487	2099.599999999999909	790.586243064276687	1.532721e06	1	8.653614	2100.79500296456672	790.585681507079471	1.561683e06	1	9.501222	2100.071560222941116	790.585958388939957	1.54043e06	1	10.447266	2097.506635307097895	790.589333818894033	1.643221e06	1	11.617233	2100.195375635054916	790.590012494826283	1.558721e06	1	9.070837
CONSENSUS	2202.176102430771607	551.894564659045159	5.832753e05	2	0.0	1.570806e-03	2203.194856664652434	551.89651795282191	5.713268e05	2	14.203339	2203.009021467644743	551.894957116004093	5.872963e05	2	14.080546	2200.058353878640446	551.896137714617225	5.638203e05	2	17.08679	2200.582013472197104	551.892156757325893	6.081741e05	2	15.633298	2201.746411208758218	551.894297741009382	5.962263e05	2	18.598928	2201.399773279811143	551.894854216021827	5.58391e05	2	17.359476	2202.929071451058917	551.895170428976144	5.554643e05	2	14.297504	2201.493022387316159	551.891896785674021	6.254914e05	2	12.54021	2203.897451310566794	551.896593390160319	5.682571e05	2	16.206375	2201.628636584069682	551.895048260426847	5.831911e05	2	17.533966	2201.787525021714373	551.895340638566722	5.749642e05	2	13.217361	2203.415922000974206	551.89566925812926	5.829402e05	2	14.899936	2200.567259610647852	551.892726392100371	6.037376e05	2	16.320368	2201.061203788564853	551.894136020676115	5.556462e05	2	16.823668	2202.771579818937426	551.895495532052905	5.584968e05	2	13.742267	2202.864771292510795	551.892857242407217	5.953177e05	2	13.558609	2201.693544086271686	551.892616720538285	6.566581e05	2	17.907843	2203.681523361492054	551.894639890924395	5.89644e05	2	16.150778	2202.677602873779051	551.894606393302752	5.987467e05	2	14.350732	2202.289999999999964	551.891610948665061	5.995019e05	2	13.473505	2203.439041569195069	551.89421446502422	5.67097e05	2	14.263562	2202.983707160976337	551.895543495896732	5.506521e05	2	14.974493	2200.177849507759674	551.896352307446477	5.776724e05	2	15.829967	2202.876316540968219	551.896112148311659	5.698937e05	2	13.307182
CONSENSUS	2209.351728101357821	470.350907903751931	3.777016e05	2	0.0	7.430954e-04	2209.23246412277922	470.351242057218713	3.823922e05	2	19.6877	2212.072576121899147	470.353504325110521	3.875327e05	2	20.116676	2206.099082367575647	470.351064285636198	3.885054e05	2	16.854963	2209.646727139100221	470.35029771761026	3.770316e05	2	15.383659	2210.802251801765124	470.348870852173093	3.832133e05	2	18.237944	2207.452763572648109	470.3502417775357	4.075397e05	2	17.81551	2208.977398781024022	470.352240946273753	3.614178e05	2	14.325886	2210.557800224974017	470.347282106673731	3.8958e05	2	17.562208	2209.933828444677602	470.35141928299214	3.57236e05	2	16.570616	2207.677477837250081	470.349899258853441	3.964747e05	2	17.524998	2210.850461524701132	470.351996151275898	3.906712e05	2	18.615122	2209.460676434468951	470.351970502550557	3.647745e05	2	14.306572	2209.631459087421717	470.350505071524424	3.52006e05	2	15.400223	2207.09903415477811	470.351163920762019	3.561153e05	2	17.719065	2208.811980755393961	470.354566840249618	3.853487e05	2	18.92536	2208.911870617643672	470.347023665125391	3.652908e05	2	13.889338	2210.763318552852979	470.350800602823881	3.797093e05	2	17.779617	2209.718475491404661	470.349808415798577	3.686056e05	2	16.144083	2211.748799501815483	470.352708713035497	3.747628e05	2	13.871738	2208.329999999999927	470.351107505290202	4.139777e05	2	19.241346	2209.476338220981688	470.349599332741377	3.616133e05	2	14.852804	2209.036183962395626	470.353602335580433	3.714173e05	2	15.092945	2209.235310078917792	470.349986350230779	3.67006e05	2	15.747686	2208.91519563611655	470.350887672978615	3.826164e05	2	18.367222
CONSENSUS	2245.483366645442402	443.33525411977206	9.219511e05	1	0.0	1.608352e-03	2245.468104910378315	443.336573594078118	9.183518e05	1	16.597549	2245.315613777627732	443.335375295575204	8.962023e05	1	16.592714	2245.373818751754698	443.336964607886728	9.014324e05	1	20.064468	2245.915587009436422	443.334155631832005	9.963484e05	1	18.156927	2244.016996051835122	443.335660715380016	8.545639e05	1	15.573444	2243.780726836778285	443.334677670648034	9.116719e05	1	20.945942	2245.267362760813739	443.335758609483605	8.306539e05	1	17.435629	2246.826916849156987	443.33451327301259	1.008105e06	1	20.255569	2246.162085251217832	443.336182326450569	9.456915e05	1	18.455091	2243.910536848035008	443.336097248890951	9.450918e05	1	20.545883	2244.091231943491948	443.335589003903579	8.795373e05	1	15.466105	2245.729203035434694	443.336165222295847	9.061095e05	1	16.820421	2245.888256994517178	443.335104718704997	9.815373e05	1	17.83112	2246.354927943054918	443.334948786457744	8.885181e05	1	20.533575	2245.064387037934466	443.33502988510179	9.115779e05	1	16.070253	2245.194466568440475	443.332828656933714	1.002281e06	1	21.083321	2247.05242720777278	443.333597176311002	9.497413e05	1	19.318567	2245.940188270879844	443.335321310596612	8.983827e05	1	19.881737	2244.973182300423105	443.335105082923121	8.871077e05	1	16.929235	2247.590000000000146	443.332728032560965	1.003826e06	1	21.102903	2245.710113655958594	443.334965472415831	8.780297e05	1	17.542685	2245.351044770909539	443.33649485633623	8.434539e05	1	18.378622	2245.465152363552988	443.336032519773653	8.920219e05	1	18.671049	2245.158468351202828	443.336229176977383	9.965875e05	1	21.002092
CONSENSUS	2242.083696910995059	487.362522782319559	7.156787e05	1	0.0	1.19989e-03	2242.449301181314695	487.364413929436864	7.498759e05	1	17.930279	2242.284424969417159	487.364055806439126	7.431782e05	1	17.472731	2239.333090262820406	487.364241249976942	6.639489e05	1	14.835432	2242.894015787135686	487.358943411010614	7.750352e05	1	19.393829	2244.016996051835122	487.364057569810484	6.733266e05	1	16.619019	2240.75423169036003	487.363318367721604	6.794451e05	1	16.927202	2242.243199095831187	487.363021768467149	6.656087e05	1	18.558029	2240.783731624052052	487.359177019337608	7.714229e05	1	15.395008	2243.143896684163337	487.365014030221346	7.638904e05	1	19.78764	2243.910536848035008	487.363026797954603	7.007569e05	1	15.575399	2241.070253109163332	487.363788006608957	7.192205e05	1	16.432316	2242.706825818687321	487.364853265046179	7.357336e05	1	18.042702	2242.86685716892589	487.358557226318567	7.516651e05	1	19.358274	2243.336012759948517	487.363033001180156	6.897231e05	1	15.889179	2242.034185905904451	487.363444430990228	7.304532e05	1	17.309418	2242.170916905874037	487.358476354736297	7.358609e05	1	16.193556	2244.029169052245379	487.359999016922814	7.113859e05	1	20.448427	2239.903236140967238	487.363758629310098	7.01993e05	1	20.396338	2241.952783864186131	487.362963423184794	7.258333e05	1	17.845144	2241.550000000000182	487.357521126098391	6.770491e05	1	16.030968	2242.691465330065512	487.362019913279255	6.867785e05	1	18.647224	2239.29856796949025	487.364737530526099	6.753538e05	1	19.814455	2242.44599883983301	487.363435149304848	7.144104e05	1	19.670937	2242.139028803628662	487.364689751788831	7.343391e05	1	16.511093
CONSENSUS	2130.791175473852945	401.267966317985156	5.457553e05	1	0.0	9.891573e-04	2130.733571128293079	401.268401348813086	5.635326e05	1	12.500024	2130.490580310144651	401.268074085910143	5.578157e05	1	11.486435	2130.579975049790846	401.269376367210953	4.925652e05	1	9.386792	2131.085875359270176	401.266559338341153	5.956681e05	1	13.787655	2132.29830917761592	401.267322701016553	5.519911e05	1	10.272553	2128.743846751550791	401.268058471118593	5.32228e05	1	10.092375	2130.339129704510015	401.268078754843486	5.625621e05	1	13.232426	2131.986387025053773	401.265303696330363	5.226414e05	1	9.466477	2131.450931699363537	401.269476868486322	5.648532e05	1	14.014154	2132.171942062016569	401.26947224730759	5.049913e05	1	9.42549	2129.274029756648361	401.267896494869717	5.469308e05	1	11.058968	2130.84884518430772	401.2691181088137	5.707015e05	1	12.583733	2131.045049716496578	401.266859558906731	5.71076e05	1	13.425356	2131.606161761330441	401.268635635986982	4.90475e05	1	8.99927	2130.276767917658617	401.268642650491245	5.546225e05	1	11.98119	2130.279555883217654	401.267313779484539	5.986172e05	1	11.588988	2132.138584931960395	401.266691564548182	5.222912e05	1	9.40323	2131.218107894825152	401.267948909092809	4.812133e05	1	8.472091	2130.178039084764805	401.269164621488187	5.709103e05	1	12.289513	2129.800000000000182	401.265697095037183	5.81293e05	1	10.804534	2130.981486223498905	401.267566343462477	5.586159e05	1	12.475243	2130.333944230035741	401.268398394889857	5.438591e05	1	13.763566	2130.727321265111641	401.268155823527422	5.057534e05	1	8.327313	2130.399769254992862	401.26897877166715	5.529196e05	1	11.647426
