MonoisotopicMass|InChI|SMILES|Identifier|InChIKey2|InChIKey1|MolecularFormula|kingdom_name|superclass_name|class_name|subclass_name
490.19983905999993|InChI=1S/C22H30N6O5S/c1-5-16(29)18-19-20(27(4)25-18)22(30)24-21(23-19)15-13-14(7-8-17(15)33-6-2)34(31,32)28-11-9-26(3)10-12-28/h7-8,13,16,29H,5-6,9-12H2,1-4H3,(H,23,24,30)|CCC(C1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O|BTMR0941|UHFFFAOYSA|YJMQVANWDHSSBK|C22H30N6O5S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
446.17362431199996|InChI=1S/C20H26N6O4S/c1-4-5-15-17-18(25(3)23-15)20(28)22-19(21-17)14-12-13(6-7-16(14)27)31(29,30)26-10-8-24(2)9-11-26/h6-7,12,27H,4-5,8-11H2,1-3H3,(H,21,22,28)|CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)O)C|BTMR0042|UHFFFAOYSA|LTNJUPYNXDNXBO|C20H26N6O4S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
44.026214748|InChI=1S/C2H4O/c1-2-3/h2H,1H3|CC=O|BTMR0042|UHFFFAOYSA|IKHGUXGNUITLKF|C2H4O|Organic compounds|Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds
490.19983905999993|InChI=1S/C22H30N6O5S/c1-5-7-17-19-20(26(3)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)33-6-2)34(31,32)27-10-12-28(4,30)13-11-27/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)|CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC[N+](CC4)(C)[O-])OCC)C|BTMR1148|UHFFFAOYSA|JQGFLCMKCZPSEC|C22H30N6O5S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
460.18927437599996|InChI=1S/C21H28N6O4S/c1-4-6-16-18-19(26(3)25-16)21(28)24-20(23-18)15-13-14(7-8-17(15)31-5-2)32(29,30)27-11-9-22-10-12-27/h7-8,13,22H,4-6,9-12H2,1-3H3,(H,23,24,28)|CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCNCC4)OCC)C|BTMR9031|UHFFFAOYSA|UZTKBZXHEOVDRL|C21H28N6O4S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
490.19983905999993|InChI=1S/C22H30N6O5S/c1-5-33-18-7-6-15(34(31,32)28-10-8-26(3)9-11-28)13-16(18)21-23-19-17(12-14(2)29)25-27(4)20(19)22(30)24-21/h6-7,13-14,29H,5,8-12H2,1-4H3,(H,23,24,30)|CC(CC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O|BTMR1354|UHFFFAOYSA|YMKAMEHSJRDCRN|C22H30N6O5S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
490.19983905999993|InChI=1S/C22H30N6O5S/c1-5-7-16-19-20(27(4)25-16)22(30)24-21(23-19)15-12-14(8-9-17(15)33-6-2)34(31,32)28-11-10-26(3)13-18(28)29/h8-9,12,18,29H,5-7,10-11,13H2,1-4H3,(H,23,24,30)|CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4C(CN(CC4)C)O)OCC)C|BTMR1349|UHFFFAOYSA|VAZISMADICFVSQ|C22H30N6O5S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
490.19983905999993|InChI=1S/C22H30N6O5S/c1-5-7-16-19-20(27(4)25-16)22(30)24-21(23-19)15-12-14(8-9-17(15)33-6-2)34(31,32)28-11-10-26(3)18(29)13-28/h8-9,12,18,29H,5-7,10-11,13H2,1-4H3,(H,23,24,30)|CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CC(N(CC4)C)O)OCC)C|BTMR1349|UHFFFAOYSA|RLQYKWDOOMUAJD|C22H30N6O5S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
490.19983905999993|InChI=1S/C22H30N6O5S/c1-4-33-18-8-7-15(34(31,32)28-11-9-26(2)10-12-28)14-16(18)21-23-19-17(6-5-13-29)25-27(3)20(19)22(30)24-21/h7-8,14,29H,4-6,9-13H2,1-3H3,(H,23,24,30)|C(CCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C)O|BTMR1317|UHFFFAOYSA|OHYLGWROIWPHIA|C22H30N6O5S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
490.19983905999993|InChI=1S/C22H30N6O5S/c1-4-5-17-19-20(27(3)25-17)22(30)24-21(23-19)16-14-15(6-7-18(16)33-13-12-29)34(31,32)28-10-8-26(2)9-11-28/h6-7,14,29H,4-5,8-13H2,1-3H3,(H,23,24,30)|CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCCO)C|BTMR1317|UHFFFAOYSA|LHEIKUCHOGHQPQ|C22H30N6O5S|Organic compounds|Benzenoids|Benzene and substituted derivatives|Benzenesulfonamides
