ID1,ID2,EdgeType,Score,Annotation
1,59,MS1 annotation,2,[M+Na]+ [M+Na]+ dm/z=22.013428946345471
1,112,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=22.012680481106827
2,31,MS1 annotation,14,[M+H]+ [M+2H]2+ dm/z=417.770397946336573
2,42,MS1 annotation,14,[M+H]+ [M+H]+ dm/z=4.955984847903437
2,94,MS1 annotation,13,[M+H]+ [M+2Na]2+ dm/z=415.291529241476098
2,230,MS1 annotation,14,[M+H]+ [M+2H]2+ dm/z=420.252567238001689
2,249,MS1 annotation,11,[M+H]+ [M+2H]2+ dm/z=426.276137445613642
2,501,MS1 annotation,12,[M+H]+ [M+2H]2+ dm/z=426.262394649556597
2,513,MS1 annotation,12,[M+H]+ [M+2H]2+ dm/z=437.294544457928112
2,688,MS1 annotation,12,[M+H]+ [M+2H]2+ dm/z=437.299501491249259
4,10,MS1 annotation,0,[M+Na]+ [M+H]+ dm/z=21.988254380004264
7,34,MS1 annotation,2,[M+2H]2+ [M+2H]2+ dm/z=22.014926888931711
7,131,MS1 annotation,1,[M+2H]2+ [M+H]+ dm/z=452.314009190140609
9,125,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=4.956665767566676
9,552,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.003739149584874
12,116,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=17.988772707832936
13,53,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.982307741266027
13,67,MS1 annotation,3,[M+H]+ [M+H]+ dm/z=17.02694065682806
13,736,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.0367967111913
14,62,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.982237588500425
14,86,MS1 annotation,2,[M+H]+ [M-H-O]+ dm/z=18.010936634392294
15,168,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=17.918681007114742
18,56,MS1 annotation,12,[M+2H]2+ [M+H]+ dm/z=444.320995862394454
18,74,MS1 annotation,12,[M+2H]2+ [M+Na]+ dm/z=449.275277299639981
18,89,MS1 annotation,12,[M+2H]2+ [M+4H+N+Na]2+ dm/z=2.481827757745975
18,161,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=6.021832668536831
18,234,MS1 annotation,11,[M+2H]2+ [M+H+Na]2+ dm/z=4.965129245687308
18,312,MS1 annotation,11,[M+2H]2+ [M+2Na]2+ dm/z=4.972906347277842
18,519,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=17.034624941193783
19,118,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=18.011470573070142
20,175,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=21.981511558715909
20,353,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=18.011208201576153
21,113,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=4.956388811204022
21,153,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=21.985058820785355
22,65,MS1 annotation,6,[M+Na]+ [M+H]+ dm/z=21.983323043097812
22,105,MS1 annotation,5,[M+Na]+ [M-H-O]+ dm/z=39.99490630058483
22,305,MS1 annotation,5,[M+Na]+ [M-3H-2O]+ dm/z=58.004382675674719
22,457,MS1 annotation,5,[M+Na]+ [M-H-O]+ dm/z=39.997380948037858
23,87,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.013926527036801
23,142,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.015199003485804
28,68,MS1 annotation,0,[M+Na]+ [M+H]+ dm/z=21.982260405044713
30,48,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=17.077826890454844
30,64,MS1 annotation,3,[M+H]+ [M+H]+ dm/z=4.904064505204644
31,42,MS1 annotation,14,[M+2H]2+ [M+H]+ dm/z=412.814413098433136
31,94,MS1 annotation,13,[M+2H]2+ [M+2Na]2+ dm/z=2.478868704860474
31,230,MS1 annotation,14,[M+2H]2+ [M+2H]2+ dm/z=2.482169291665116
31,249,MS1 annotation,11,[M+2H]2+ [M+2H]2+ dm/z=8.50573949927707
31,501,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=8.491996703220025
31,513,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=19.524146511591539
31,688,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=19.529103544912687
32,622,MS1 annotation,0,[M+H]+ [M-3H-2O]+ dm/z=36.048167740832469
34,101,MS1 annotation,1,[M+2H]2+ [M+H]+ dm/z=430.301774394449296
35,54,MS1 annotation,0,[M+2H]2+ [M+H]+ dm/z=473.342432245345321
38,217,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.985466236436537
40,83,MS1 annotation,0,[M+Na]+ [M+H]+ dm/z=21.982233261636793
