row ID,row m/z,row retention time,intensity_measure,s200525_Dog_Blank_01.mzXML Peak area,s200525_Dog_4h_02.mzXML Peak area,s200525_Dog_4h_03.mzXML Peak area,s200525_Dog_4h_01.mzXML Peak area,s200525_Dog_Blank_03.mzXML Peak area,s200525_Dog_Blank_02.mzXML Peak area,s200525_HUMAN_4h_01.mzXML Peak area,s200525_HUMAN_4h_02.mzXML Peak area,s200525_HUMAN_Blank_02.mzXML Peak area,s200525_HUMAN_4h_03.mzXML Peak area,s200525_HUMAN_Blank_01.mzXML Peak area,s200525_Mk_4h_02.mzXML Peak area,s200525_Mk_4h_03.mzXML Peak area,s200525_HUMAN_Blank_03.mzXML Peak area,s200525_Mk_4h_01.mzXML Peak area,s200525_Mk_Blank_02.mzXML Peak area,s200525_Mk_Blank_03.mzXML Peak area,s200525_Mou_4h_01.mzXML Peak area,s200525_Mk_Blank_01.mzXML Peak area,s200525_Mou_Blank_01.mzXML Peak area,s200525_Mou_Blank_02.mzXML Peak area,s200525_Mou_4h_03.mzXML Peak area,s200525_Mou_4h_02.mzXML Peak area,s200525_Rat_4h_02.mzXML Peak area,s200525_Mou_Blank_03.mzXML Peak area,s200525_Rat_Blank_02.mzXML Peak area,s200525_Rat_4h_01.mzXML Peak area,s200525_Rat_Blank_03.mzXML Peak area,s200525_Rat_4h_03.mzXML Peak area,s200525_Rat_Blank_01.mzXML Peak area,Unnamed: 33
1,568.299540760328,33.925083333333326,area,80654186.63389823,77946308.74940835,79389508.46492086,79493092.20215507,77078181.43134423,79549199.09081027,79349468.63500512,78395342.93821841,79511916.1647114,77428238.47680847,80998386.12699094,75620312.44976564,78163652.09859388,74741789.90529023,78888197.4736608,77817100.93112262,78288601.54171889,40265481.65312508,78025465.48609266,75990765.42979315,37000505.22367199,37883017.79289056,31289272.255468547,74690278.65126486,74937108.4175638,74594830.24833003,74596694.21112788,77610646.62964953,77660357.41942106,75284909.87047021,
2,573.2548280892635,33.91837222222222,area,70023226.26960132,68185477.29512396,70866062.15174006,69462902.20533387,64651680.16156764,68621572.17444682,72729654.25514127,71765420.69673105,79513189.8121412,70825453.1481907,72294252.27150086,67488464.47437502,68479947.41096698,73123570.31767616,69796140.00283615,70471658.90313287,72492864.58811535,73690454.5370715,70836818.34876902,68771217.99125953,72396535.35321291,74651497.82229728,64142856.76254707,68958375.47313257,68781949.57485472,69117143.34900732,68738555.45773678,74065260.91581538,74158049.17722283,68690153.9194048,
3,304.2996606824045,34.210333333333324,area,8811130.130781218,8595673.670517616,8576442.320278304,8668023.81140621,8721767.61193347,8681371.651899384,8830330.524126,9716678.159823565,9665445.78842156,8911479.01996585,14294.603012695226,9812477.974089349,9692483.62507202,8913546.97843747,11951.982893066332,8889416.151386896,8966587.029604433,9614148.846497726,12793.167175292892,8764695.169985313,8753285.068486372,9680475.755562635,8788321.425522378,9641693.452686695,8829965.826360071,8595864.723242084,7023870.382221662,6974862.205620098,8650843.326035121,8536899.588139607,
4,381.0813242306149,1.804905555555556,area,24644622.284260385,23686168.25723503,26246984.76823088,31318960.26750478,24038716.599078484,24006520.79054911,21680165.573224664,23013236.993405327,20549416.41861382,21437119.988807984,20530077.458914127,24291783.73327734,24121053.66703326,20700256.57688101,25066081.6550286,24563866.01497478,25444550.298461013,23881258.723942976,25446243.037218302,24569086.02156148,28242533.555889387,23828292.78133533,21649691.785232868,20649074.053459343,24846888.10903854,21050070.92696477,20812152.727727287,19233564.542907085,20156279.169190764,21241803.215858724,
5,332.33216061146555,34.49226666666666,area,14484629.555717831,14293770.83173569,14052026.347365756,14182934.540800154,14354547.498160398,14430683.65979774,14860648.065964531,14606409.254084406,14417549.801798737,14729466.89191828,15152384.865371771,14728501.387232704,14676115.25779521,14626441.38979007,14787384.295314277,14709722.08558343,14633927.34627505,14613420.49600964,14812262.54374685,14643119.958053531,14529054.885783518,14736107.009986116,14738442.84225487,14338995.092528127,14565690.902411995,11656632.431699364,11789923.005625209,14387830.024984969,14411268.09989571,11750907.334550772,
6,758.569820811093,36.900277777777774,area,45523001.33529659,4585709.552821946,2663101.2826187266,30823501.281533208,62089063.68938353,59653657.31117252,39191159.33103395,36769144.49972166,36012032.17986752,40462690.33942626,40284471.80480348,44184173.61371339,43141754.8083716,36587949.98274232,48226078.06973388,45263576.4917578,54410268.1248438,44529381.402521335,42301539.30843996,503354.8089208974,1409163.9255590837,33881073.10122131,43905711.9752588,1231586.7543823218,4488494.485798341,3475424.449693604,1840124.8024462909,2837924.44324463,1109125.9744116222,4509672.157274778,
7,616.4636791498542,34.2321611111111,area,4070211.4472265528,4048113.416884773,3956533.694023437,4018123.12992185,3977052.0820898376,4018441.336787102,4009955.479506851,4031312.460859357,4081977.496757765,3982437.113750016,4346617.699599603,4209450.688310541,4035767.046044915,3826084.409902333,4125184.611406224,4010401.756679757,3984824.079882776,4183082.486777397,3978572.0976074818,4064598.570546858,4018497.192626969,4021757.981572234,4073171.7716064313,3914631.817978479,4051884.041767616,3839825.687460917,3965082.229941418,3868136.825068367,4002364.719521477,3884677.8775829854,
8,674.5054404172239,34.50569444444444,area,3380186.6340137,3380732.990571232,3357641.904335956,3340486.859316397,3348411.286425772,3370538.4439160256,3393719.5183203616,3284542.432734356,3433513.812382804,3329187.566083965,3562643.7760938248,3347291.331406248,3408189.781084002,3326422.981943373,3384387.5301269325,3394591.435493144,3299668.843437501,3363257.3380565904,3302776.271562458,3266248.861826156,3286938.820908137,3326454.887822334,3277970.010273496,3216658.204521513,3291152.409267552,3374608.7775000627,3268641.539941465,3390197.678339913,3454759.5353906504,3330043.498046872,
9,391.2852334473557,36.35826111111111,area,9167510.165979054,8953209.426841442,9101056.23876074,8777770.423877537,9198234.014064936,8877638.152612938,11296177.53157223,9705555.045313733,32651384.07434849,9787074.46687131,3990210.333376472,9233608.428417956,9325195.944730254,15675434.027034843,9353417.665620709,9424295.26602538,9607362.126424566,8759793.036921397,9490015.35977597,8980975.004542524,8871155.759031383,8975183.32818117,8699751.890222814,8817347.312517675,9006000.596569834,8889237.514274951,8994676.694458071,9175349.922079507,9211555.997264393,8977106.522423986,
10,393.2856199009498,33.9569611111111,area,2279965.772944335,1610652.6591064278,1617962.3523388386,1914749.4411987208,1737004.3899731808,2071142.4161523287,1985429.8319238524,2311266.434262653,1560827.766057122,1857230.2853173583,1862966.3022802388,2052889.2932104275,1909097.5606982564,1799435.9528368816,2120859.4712207294,1868249.1970752,1997074.4491308928,1722498.2057470942,1790874.518266632,1786068.7781103451,1861503.906682174,1570167.6670922632,1812959.2118701127,1168409.5297168149,1919864.778173832,1003439.176943371,1432609.6220165617,1261778.483437501,1053278.4051904231,1248196.3577929884,
